"psu","sp.map","county","spid","segment","icf1","icf2","icf2a.1","icf2a.2","icf2a.3","icf2a.4","icf2a.5","icf2a.6","icf2a.7","icf2a.8","icf2a.9","icf2a.10","icf2a.11","icf3"
"225316","225",2,25,316,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"225319","225",2,25,319,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"225317","225",2,25,317,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"230388","230",2,30,388,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"230388","230",2,30,388,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"230388","230",2,30,388,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"230382","230",2,30,382,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"230382","230",2,30,382,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"230382","230",2,30,382,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"225314","225",2,25,314,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"225315","225",2,25,315,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"225320","225",2,25,320,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"225324","225",2,25,324,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"225324","225",2,25,324,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"225324","225",2,25,324,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"230378","230",2,30,378,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"230383","230",2,30,383,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"230389","230",2,30,389,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"230386","230",2,30,386,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"229364","229",2,29,364,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"221265","221",2,21,265,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"221265","221",2,21,265,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"221265","221",2,21,265,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"221266","221",2,21,266,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"221266","221",2,21,266,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"221266","221",2,21,266,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"229368","229",2,29,368,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"229368","229",2,29,368,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
